phylum	taxon	total	color	D1_A	D1_B	D2_A	D2_B	D3_A	D3_B	D4_A	D4_B	D5_A	D5_B	R1_A	R1_B	R1_C	R1_D	R1_E	R1_F	R2_A	R2_B	R2_C	R2_E	R2_F	R3_A	R3_B	R3_D	R3_E	R3_F	R4_A	R4_B	R4_C	R4_D	R4_E	R4_F	R5_B	R5_C	R5_D	R5_E	R5_F	R6_A	R6_B	R6_C	R6_D	R6_E
02_Firmicutes	Ruminococcus2	33467	orchid3	0.267419403	0.206889418	0.66953112	1.577360241	5.311726311	3.430988563	0.898232667	0.963332829	1.309378806	2.299522039	0	0	0.129231763	0.125287116	0.244853088	0.56980812	0	0	0.363328085	0.375234522	0	0	0	2.631448536	2.263738551	1.850775194	0	0.265017668	1.479140908	1.132410628	1.243918343	2.047274296	0.008252868	0.849872274	0.735678672	0.317070014	0	0	0	3.550535766	3.496664366	2.656262744
02_Firmicutes	Streptococcus	32234	plum4	0.029713267	0.025861177	12.70231937	5.613546741	0.130542426	0.067888663	0.77927753	0.443839209	0.15225335	0.079660117	0.48044635	0.668591399	0.01153855	0.034801977	0.104937038	0.148415138	2.343578485	1.423163544	1.017318639	0.835749616	1.160541586	2.310659739	1.816550796	0.460875167	0.307035803	0.518410853	6.08741285	11.67550059	3.576498603	1.887351047	0.295932186	0.872608716	0.54468928	10.80271173	1.907185942	2.316552349	0.015708451	0.065505759	0.047832326	0.185346076	0.166781689	0.149533727
02_Firmicutes	Clostridium_IV	30217	plum1	0.881493587	0.729285197	0.160604038	0.389700765	0.144046815	0.135777325	0.191784813	0.105916175	1.3499797	1.598513011	0	0	0.486926823	0.417623721	0.924445333	0.712922718	0.016465423	0.004791796	0.314884341	0.017056115	0.040018675	0	0	3.637444868	2.945462115	1.143410853	0.127445836	0.125147232	0.155699043	0.152961784	0.150473993	0.115069281	0	0.137551582	0.606673407	0	0	0.070964572	0.076096882	0.260642919	0.356567748	0.435007205
02_Firmicutes	Clostridium_XlVb	27325	pink3	0.004952211	0.031033413	0.623644252	0.153096729	0.180058519	0.27155465	0.033987182	0.065567156	0.010150223	0.058417419	0	0	0.00230771	0	0.169898061	0.015901622	0	0	2.107302895	2.200238786	0	0	0	0.054512117	0.088467943	0.300387597	3.30609491	1.060070671	0.036635069	1.406261565	0.155489793	0.29726231	0	0.152289251	0.066245947	0.090591433	0.424128181	4.470768055	6.013827891	0.023168259	0	0
02_Firmicutes	Erysipelotrichaceae_unclassified	26453	pink	1.1092953	1.148236268	0.064658769	0.018557179	0.04501463	0.036555434	0.371431346	0.131134312	0.06090134	0.026553372	0.015498269	0.050650864	0.512311633	1.851465163	2.823306016	3.31813845	0.109769484	0	0	0.102336688	0	0.011809164	0	0.019822588	0.03122398	0.19379845	0.074968139	0.496908127	0.897559189	0.631584141	1.600040126	1.390420482	0	0.009825113	0	0	0	2.369124952	5.018045832	5.531421952	1.386013343	1.315896795
02_Firmicutes	Veillonella	25412	lightpink1	0	0	0.805105957	0.872187428	0	0.036555434	0.004855312	0.015130882	0	0.021242698	15.89089218	9.497036924	3.12925484	0.006960395	0	0	0	0.014375389	0.054499213	0.153505032	0.200093377	17.12722406	16.47354913	0.029733882	0.010407993	0	0.299872554	0	0	0.004934251	0	0.004794553	5.958570603	1.920809589	0.505561173	9.427979811	0.219918316	2.931382717	6.24646693	0.069504778	0.011502185	0.00543759
02_Firmicutes	Roseburia	23820	lightpink3	0.311989303	0.356884245	2.759469381	2.347483183	0.958811614	0.741553084	5.901631385	3.45992838	0	0	0	0	0.030000231	2.519663117	1.33419948	3.016007633	0	0	0.339106213	7.282960941	0.006669779	0	0	3.171614054	1.660074938	0.983527132	0	0	0.76017768	1.097870871	1.324171139	0.934937911	0	0	0	6.10198007	0.204209865	0.010917627	0	0.781928758	3.686450426	1.84334303
02_Firmicutes	Dialister	20837	palevioletred4	2.21363839	1.639598635	0	0	0	0.031333229	0.291318703	0.206788722	3.989037759	3.717472119	0.087823526	0.800283645	0.120000923	0.278415814	0.149910054	0	0	0	0	0	0	0	0	0	0	0	7.901641802	0.684628975	3.713880112	4.519774011	3.014495661	4.588387592	0.012379302	6.327372765	16.32090931	4.413096933	1.146716934	1.075386211	0.530503979	3.336229366	0.695882218	0.282754683
02_Firmicutes	Dorea	17140	palevioletred1	0.480364483	0.620668253	1.37034874	0.969612619	0.369119964	0.088777482	0.419984463	0.146265194	0	0.010621349	0	0	0.147693444	0.382821744	0.784529282	0.431994063	0.010976948	0	0.102942957	1.535050316	1.727472821	0	0	0.099112939	0.135303913	0.096899225	0.022490442	0.047850412	3.439117095	1.662842622	1.74549832	4.559620271	0	0	0	0	0	0.005458813	0	2.757022879	1.086956522	1.147331503
02_Firmicutes	Coprococcus	16478	magenta4	0.173327391	0.222406124	1.802102453	1.229413129	0.108035111	0.109666301	4.07117887	2.052756342	0.071051563	0.04779607	0	0	0.057692751	2.060277024	1.119328403	1.489451924	0	0	0.448104638	0.102336688	0.006669779	0	0	0.351850934	0.369483764	0.082364341	0	0	8.865686679	3.074038438	4.960625972	3.701395215	0	0.088426017	0.02789303	0.103533066	0	0	0	0.22589053	0.586611456	0.388787689
