Samples	GCA 	GCDCA 	GHCA 	GHDCA 	GUDCA 	GLCA 	GDCA 	TaMCA 	TbMCA 	TCA 	TCDCA 	THCA 	THDCA/TUDCA 	TLCA 	TDCA 	aMCA 	bMCA 	CA 	CDCA 	wMCA 	HCA 	HDCA 	UDCA 	LCA	DCA 
D4_A	0.134381576	0.348856978	0.0001	0.000788437	0.056587042	18.57673117	0.460644394	0.346316732	1.052522217	0.021417339	0.087383703	0.102185517	0.009875253	0.138657781	0.080337267	0.045743925	0.191024725	1.313807052	0.0001	0.503682684	0.734655339	83.83834616	0.077607789	125.1725789	330.5898306
D4_B	0.033755174	0.165027146	0.065941681	0.001649509	0.015894042	10.11855321	0.088037671	0.247206953	0.389084369	0.0001	0.035370316	0.0001	0.008356379	0.184748569	0.028127417	0.034967251	0.220089937	0.148626241	0.0001	0.081714704	0.381926052	71.45157768	0.0001	61.2800023	318.2221699
D5_A	0.0001	0.018467197	0.0001	0.0001	0.0001	0.0001	0.007523773	0.0001	0.0001	0.0001	0.017477048	0.0001	0.00245882	0.016371714	0.01631364	0.0001	0.0001	7.405466271	3.376344479	7.78630461	0.045420816	0.0001	0.570345796	6.78670255	6.597591952
D5_B	0.0001	0.024952631	0.0001	0.0001	0.0001	0.0001	0.008468457	0.0001	0.0001	0.0001	0.017281637	0.0001	0.003361122	0.021851576	0.015322198	0.0001	0.0001	2.526319029	3.181263411	2.700745531	0.019952858	0.0001	0.398933327	10.6203752	8.372189065
R1_D	0.017425495	0.142586161	0.0001	0.0001	0.003079733	142.9584786	0.064687997	0.0001	0.029295669	0.059807204	0.029122362	0.241310198	0.00612451	0.053934729	0.004718579	0.023781686	0.19461713	0.486030925	0.0001	0.089134493	0.0322272	20.32530792	0.214392109	534.1823413	391.9479478
R1_E	0.032817822	0.013439864	0.0001	0.0001	0.001062565	8.835681668	0.022685411	0.258955996	0.272119643	0.053074571	0.011867706	0.0001	0.005085011	0.008999379	0.012960469	0.032898528	0.0001	0.871750678	0.0001	0.060816987	0.416685602	12.32610755	0.025275029	67.76259755	68.09611045
R1_F	0.044735444	0.04281242	0.0001	0.0001	0.000203036	13.72164832	0.344337155	0.294792151	0.282955898	0.060950768	0.00184771	0.029086722	0.007243684	0.083040925	0.122320762	0.061807578	0.93039601	4.860886612	0.0001	2.092932258	0.885167712	170.4227458	0.227631642	188.2159931	513.9379067
R2_C	0.20292142	0.177063751	0.0001	0.001177938	0.018077012	30.78419037	0.048832715	4.811997671	0.021093338	0.417653016	0.115508711	0.058778511	0.108445541	0.564122753	0.4188375	0.026907139	3.507717235	31.68420202	4.105178651	25.06604894	0.110242076	0.0001	38.63424409	60.58330148	312.6350013
R2_D	0.161543818	0.168730352	0.0001	0.000896758	0.010088146	4.430884691	0.086913179	0.0001	0.029567518	0.666613888	0.098602907	0.113682426	0.010871408	0.128286398	0.062582759	0.031854161	0.054650971	47.10476448	184.8283481	3.69569768	0.065228792	8.439243421	7.468062938	15.16961889	239.6883111
R2_E	0.133562068	0.940132911	0.0001	0.00113825	0.01253529	105.1378572	2.178547866	0.846529333	0.715882624	0.024957275	0.001917491	0.072207057	0.030733398	3.983211585	1.596874417	0.010130042	0.2515977	2.611381578	0.0001	4.445071075	0.048989969	0.0001	23.9296128	360.5011431	1429.21975
